thomas_id,bioguide_id,firstname,lastname,gender,party_code,state_abbr,Year of birthdate
1,A000009,James,Abdnor,M,200,SD,1923
2,A000014,Neil,Abercrombie,M,100,HI,1938
1268,A000017,James,Abourezk,M,100,SD,1931
3,A000018,Bella,Abzug,F,100,NY,1920
4,A000022,Gary,Ackerman,M,100,NY,1942
5,A000031,Brockman,Adams,M,100,WA,1927
6,A000052,Joseph,Addabbo,M,100,NY,1925
1460,A000055,Robert,Aderholt,M,200,AL,1965
1270,A000062,George,Aiken,M,200,VT,
7,A000069,Daniel,Akaka,M,100,HI,1924
8,A000073,Carl,Albert,M,100,OK,1908
9,A000076,Donald,Albosta,M,100,MI,1925
10,A000103,William,Alexander,M,100,AR,1934
11,A000109,Wayne,Allard,M,200,CO,1943
12,A000118,Clifford,Allen,M,100,TN,1912
13,A000121,George,Allen,M,200,VA,1952
1271,A000127,James,Allen,M,100,AL,1912
1272,A000139,Maryon,Allen,F,100,AL,1925
14,A000170,Jerome,Ambro,M,100,NY,1928
15,A000177,Joseph,Ammerman,M,100,PA,1924
16,A000189,Glenn,Anderson,M,100,CA,1913
17,A000195,John,Anderson,M,200,IL,1922
1273,A000202,Wendell,Anderson,M,100,MN,1933
18,A000207,Ike,Andrews,M,100,NC,1925
19,A000208,Mark,Andrews,M,200,ND,1926
20,A000209,Michael,Andrews,M,100,TX,1944
21,A000210,Robert,Andrews,M,100,NJ,1957
22,A000211,Thomas,Andrews,M,100,ME,1953
23,A000212,Frank,Annunzio,M,100,IL,1915
24,A000213,Beryl,Anthony,M,100,AR,1938
25,A000214,Douglas,Applegate,M,100,OH,1928
26,A000215,Bill,Archer,M,200,TX,1928
27,A000216,Leslie,Arends,M,200,IL,
28,A000217,Richard,Armey,M,200,TX,1940
29,A000219,William,Armstrong,M,200,CO,1937
30,A000220,Jean,Ashbrook,F,200,OH,1934
31,A000221,John,Ashbrook,M,200,OH,1928
32,A000222,Thomas,Ashley,M,100,OH,1923
33,A000224,Leslie,Aspin,M,100,WI,1938
34,A000226,Chester,Atkins,M,100,MA,1948
35,A000329,Eugene,Atkinson,M,100,PA,1927
35,A000329,Eugene,Atkinson,M,200,PA,1927
36,A000337,Les,AuCoin,M,100,OR,1942
1269,A000355,Spencer,Abraham,M,200,MI,1952
1274,A000356,John,Ashcroft,M,200,MO,1942
1461,A000357,Thomas,Allen,M,100,ME,1945
1655,A000358,W.,Akin,M,200,MO,1947
1695,A000360,Lamar,Alexander,M,200,TN,1940
1727,A000361,Rodney,Alexander,M,100,LA,1946
1727,A000361,Rodney,Alexander,M,200,LA,1946
1873,A000362,Jason,Altmire,M,100,PA,1968
1867,A000363,Michael,Arcuri,M,100,NY,1959
1935,A000364,John,Adler,M,100,NJ,1959
1947,A000365,Steve,Austria,M,200,OH,1958
