bill_id,thomas_id
hconres1-101,4
hconres1-101,7
hconres1-101,34
hconres1-101,36
hconres1-101,82
hconres1-101,108
hconres1-101,113
hconres1-101,116
hconres1-101,134
hconres1-101,158
hconres1-101,174
hconres1-101,203
hconres1-101,220
hconres1-101,228
hconres1-101,229
hconres1-101,252
hconres1-101,279
hconres1-101,284
hconres1-101,308
hconres1-101,326
hconres1-101,328
hconres1-101,336
hconres1-101,361
hconres1-101,372
hconres1-101,374
hconres1-101,375
hconres1-101,392
hconres1-101,395
hconres1-101,407
hconres1-101,419
hconres1-101,424
hconres1-101,429
hconres1-101,431
hconres1-101,487
hconres1-101,516
hconres1-101,546
hconres1-101,613
hconres1-101,616
hconres1-101,620
hconres1-101,626
hconres1-101,631
hconres1-101,637
hconres1-101,681
hconres1-101,684
hconres1-101,735
hconres1-101,743
hconres1-101,748
hconres1-101,758
hconres1-101,766
hconres1-101,812
hconres1-101,820
hconres1-101,833
hconres1-101,835
hconres1-101,876
hconres1-101,878
hconres1-101,883
hconres1-101,884
hconres1-101,888
hconres1-101,905
hconres1-101,906
hconres1-101,944
hconres1-101,1032
hconres1-101,1048
hconres1-101,1069
hconres1-101,1101
hconres1-101,1121
hconres1-101,1129
hconres1-101,1162
hconres1-101,1165
hconres1-101,1167
hconres1-101,1176
hconres1-101,1209
hconres1-101,1213
hconres1-101,1240
hconres1-101,1247
hconres1-101,1252
hconres2-101,304
hconres2-101,765
hconres2-101,827
hconres3-101,7
hconres3-101,24
hconres3-101,84
hconres3-101,101
hconres3-101,112
hconres3-101,140
hconres3-101,190
hconres3-101,214
hconres3-101,216
hconres3-101,238
hconres3-101,273
hconres3-101,275
hconres3-101,338
hconres3-101,345
hconres3-101,424
hconres3-101,441
hconres3-101,490
hconres3-101,492
hconres3-101,498
hconres3-101,583
hconres3-101,604
hconres3-101,646
hconres3-101,673
hconres3-101,691
hconres3-101,698
hconres3-101,737
hconres3-101,739
hconres3-101,742
hconres3-101,812
hconres3-101,822
hconres3-101,824
hconres3-101,836
hconres3-101,847
hconres3-101,865
hconres3-101,876
hconres3-101,878
hconres3-101,880
hconres3-101,885
hconres3-101,903
hconres3-101,912
hconres3-101,925
hconres3-101,940
hconres3-101,968
hconres3-101,971
hconres3-101,974
hconres3-101,1034
hconres3-101,1069
hconres3-101,1081
hconres3-101,1084
hconres3-101,1085
hconres3-101,1088
hconres3-101,1095
hconres3-101,1098
hconres3-101,1121
hconres3-101,1122
hconres3-101,1139
