B Id,Thomas Id
hconres1-93,874
hconres2-93,77
hconres3-93,77
hconres4-93,218
hconres5-93,218
hconres6-93,271
hconres7-93,394
hconres8-93,464
hconres9-93,464
hconres10-93,561
hconres11-93,945
hconres12-93,945
hconres13-93,945
hconres14-93,945
hconres15-93,1186
hconres16-93,3
hconres17-93,23
hconres18-93,23
hconres19-93,23
hconres20-93,218
hconres21-93,228
hconres22-93,384
hconres23-93,394
hconres24-93,422
hconres25-93,422
hconres26-93,469
hconres27-93,561
hconres28-93,787
hconres29-93,816
hconres30-93,816
hconres31-93,816
hconres32-93,842
hconres33-93,943
hconres34-93,974
hconres35-93,974
hconres36-93,974
hconres37-93,984
hconres38-93,996
hconres39-93,1117
hconres40-93,1221
hconres41-93,464
hconres42-93,1024
hconres43-93,1221
hconres44-93,1134
hconres45-93,17
hconres46-93,23
hconres47-93,337
hconres48-93,391
hconres49-93,290
hconres50-93,416
hconres51-93,416
hconres52-93,564
hconres53-93,564
hconres54-93,564
hconres55-93,564
hconres56-93,564
hconres57-93,936
hconres58-93,945
hconres59-93,991
hconres60-93,315
hconres61-93,529
hconres62-93,529
hconres63-93,529
hconres64-93,915
hconres65-93,915
hconres66-93,915
hconres67-93,929
hconres68-93,929
hconres69-93,929
hconres70-93,929
hconres71-93,929
hconres72-93,929
hconres73-93,929
hconres74-93,929
hconres75-93,929
hconres76-93,1024
hconres77-93,1131
hconres78-93,309
hconres79-93,682
hconres80-93,907
hconres81-93,6
hconres81-93,23
hconres81-93,40
hconres81-93,59
hconres81-93,85
hconres81-93,90
hconres81-93,105
hconres81-93,118
hconres81-93,134
hconres81-93,156
hconres81-93,175
hconres81-93,177
hconres81-93,199
hconres81-93,218
hconres81-93,253
hconres81-93,262
hconres81-93,272
hconres81-93,280
hconres81-93,288
hconres81-93,336
hconres81-93,341
hconres81-93,365
hconres81-93,391
hconres81-93,436
hconres81-93,459
hconres82-93,23
hconres82-93,493
hconres82-93,519
hconres82-93,535
hconres82-93,551
hconres82-93,640
hconres82-93,678
hconres82-93,723
hconres82-93,757
hconres82-93,765
hconres82-93,814
hconres82-93,842
hconres82-93,843
hconres82-93,856
hconres82-93,866
hconres82-93,896
hconres82-93,907
hconres82-93,915
hconres82-93,918
hconres82-93,920
hconres82-93,929
hconres82-93,963
hconres82-93,983
hconres82-93,1051
hconres82-93,1099
hconres83-93,23
hconres83-93,458
hconres83-93,1117
hconres83-93,1187
hconres83-93,1229
hconres83-93,1239
hconres84-93,182
hconres85-93,703
hconres86-93,84
hconres87-93,129
hconres88-93,309
hconres89-93,337
hconres90-93,874
hconres91-93,17
hconres92-93,430
hconres93-93,430
hconres94-93,907
hconres95-93,85
hconres96-93,509
hconres97-93,202
hconres98-93,218
hconres99-93,218
hconres100-93,503
hconres101-93,73
hconres102-93,341
hconres103-93,341
hconres104-93,625
hconres105-93,874
hconres106-93,134
hconres107-93,10
hconres107-93,17
hconres107-93,26
hconres107-93,92
hconres107-93,240
hconres107-93,263
hconres107-93,290
hconres107-93,393
hconres107-93,402
hconres107-93,403
hconres107-93,415
hconres107-93,416
hconres107-93,494
hconres108-93,416
hconres108-93,503
hconres108-93,513
hconres108-93,568
hconres108-93,581
hconres108-93,622
hconres108-93,727
hconres108-93,728
hconres108-93,970
hconres108-93,1186
hconres108-93,1202
hconres108-93,1221
hconres108-93,1246
hconres108-93,1249
hconres109-93,895
hconres110-93,943
hconres111-93,866
hconres112-93,866
hconres113-93,874
hconres114-93,6
hconres114-93,85
hconres114-93,118
hconres114-93,143
hconres114-93,175
hconres114-93,234
hconres114-93,263
hconres114-93,272
hconres114-93,341
hconres114-93,370
hconres114-93,529
hconres114-93,678
hconres114-93,753
hconres114-93,820
hconres114-93,915
hconres114-93,918
hconres114-93,963
hconres114-93,973
hconres114-93,974
hconres114-93,1111
hconres114-93,1239
hconres115-93,19
hconres115-93,90
hconres115-93,199
hconres115-93,284
hconres115-93,321
hconres115-93,411
hconres115-93,415
hconres115-93,499
hconres115-93,560
hconres115-93,620
hconres115-93,749
hconres115-93,787
hconres115-93,838
hconres115-93,877
hconres115-93,961
hconres115-93,1239
hconres116-93,915
hconres117-93,1217
hconres118-93,148
hconres119-93,148
hconres120-93,148
hconres121-93,148
hconres122-93,296
hconres123-93,3
hconres123-93,134
hconres123-93,143
hconres123-93,156
hconres123-93,163
hconres123-93,228
hconres123-93,239
hconres123-93,290
hconres123-93,318
hconres123-93,336
hconres123-93,341
hconres123-93,370
hconres123-93,384
hconres123-93,402
hconres123-93,503
hconres123-93,556
hconres123-93,643
hconres123-93,820
hconres123-93,920
hconres123-93,961
hconres123-93,973
hconres123-93,987
hconres123-93,1017
hconres123-93,1033
hconres124-93,288
hconres125-93,1221
hconres126-93,351
hconres127-93,118
hconres127-93,458
hconres127-93,643
hconres127-93,842
hconres127-93,918
hconres127-93,944
hconres127-93,1101
hconres128-93,866
hconres129-93,6
hconres129-93,175
hconres129-93,1100
hconres129-93,1239
hconres130-93,286
hconres130-93,440
hconres130-93,1239
hconres131-93,16
hconres132-93,117
hconres133-93,1039
hconres134-93,1183
hconres135-93,907
hconres136-93,337
hconres137-93,458
hconres138-93,3
hconres138-93,6
hconres138-93,40
hconres138-93,90
hconres138-93,150
hconres138-93,195
hconres138-93,203
hconres138-93,229
hconres138-93,275
hconres138-93,318
hconres138-93,333
hconres138-93,503
hconres138-93,515
hconres138-93,529
hconres138-93,556
hconres138-93,656
hconres138-93,818
hconres138-93,820
hconres138-93,838
hconres138-93,953
hconres138-93,987
hconres138-93,1101
hconres138-93,1115
hconres138-93,1121
hconres138-93,1193
hconres139-93,503
hconres139-93,1241
hconres140-93,712
hconres141-93,753
hconres142-93,156
hconres142-93,493
hconres142-93,515
hconres142-93,877
hconres142-93,908
hconres142-93,1002
hconres142-93,1109
hconres143-93,974
hconres144-93,548
hconres145-93,757
hconres146-93,5
hconres146-93,134
hconres146-93,143
hconres146-93,206
hconres146-93,341
hconres146-93,370
hconres146-93,391
hconres146-93,411
hconres146-93,415
hconres146-93,464
hconres146-93,474
hconres146-93,530
hconres146-93,573
hconres146-93,625
hconres146-93,749
hconres146-93,753
hconres146-93,790
hconres146-93,825
hconres146-93,995
hconres146-93,1052
hconres146-93,1120
hconres146-93,1221
hconres146-93,1239
hconres146-93,1241
hconres146-93,1253
hconres147-93,23
hconres147-93,320
hconres147-93,384
hconres147-93,461
hconres147-93,535
hconres147-93,873
hconres147-93,895
hconres147-93,982
hconres147-93,1124
hconres147-93,1241
hconres148-93,296
hconres149-93,974
hconres150-93,974
hconres151-93,90
hconres151-93,643
hconres152-93,500
hconres153-93,974
hconres154-93,198
hconres154-93,292
hconres154-93,574
hconres155-93,1040
hconres156-93,973
hconres157-93,1168
hconres158-93,513
hconres159-93,422
hconres160-93,131
hconres160-93,320
hconres160-93,336
hconres160-93,386
hconres160-93,461
hconres160-93,473
hconres160-93,513
hconres160-93,762
hconres160-93,787
hconres160-93,820
hconres160-93,830
hconres160-93,1053
hconres160-93,1186
hconres160-93,1265
hconres161-93,147
hconres161-93,206
hconres161-93,403
hconres161-93,418
hconres161-93,473
hconres161-93,535
hconres161-93,542
hconres161-93,629
hconres161-93,678
hconres161-93,707
hconres161-93,825
hconres161-93,1099
hconres161-93,1105
hconres161-93,1241
hconres162-93,33
hconres162-93,269
hconres162-93,418
hconres162-93,620
hconres162-93,877
hconres162-93,954
hconres162-93,1109
hconres162-93,1153
hconres162-93,1261
hconres163-93,668
hconres164-93,1164
hconres165-93,17
hconres166-93,85
hconres167-93,1267
hconres168-93,201
hconres169-93,225
hconres170-93,707
hconres171-93,1002
hconres172-93,298
hconres172-93,299
hconres172-93,513
hconres172-93,816
hconres172-93,837
hconres172-93,873
hconres172-93,1183
hconres172-93,1252
hconres173-93,92
hconres173-93,115
hconres173-93,147
hconres173-93,182
hconres173-93,215
hconres173-93,260
hconres173-93,283
hconres173-93,290
hconres173-93,315
hconres173-93,318
hconres173-93,386
hconres173-93,503
hconres173-93,568
hconres173-93,629
hconres173-93,932
hconres173-93,945
hconres173-93,1056
hconres173-93,1168
hconres173-93,1191
hconres173-93,1221
hconres173-93,1241
hconres173-93,1256
hconres174-93,515
hconres174-93,920
hconres174-93,929
hconres174-93,944
hconres174-93,950
hconres174-93,973
hconres174-93,987
hconres174-93,996
hconres174-93,1017
hconres174-93,1033
hconres174-93,1061
hconres174-93,1101
hconres174-93,1152
hconres174-93,1159
hconres174-93,1233
hconres174-93,1239
hconres175-93,5
hconres175-93,33
hconres175-93,40
hconres175-93,95
hconres175-93,134
hconres175-93,156
hconres175-93,195
hconres175-93,203
hconres175-93,275
hconres175-93,298
hconres175-93,336
hconres175-93,401
hconres175-93,464
hconres175-93,494
hconres175-93,503
hconres175-93,515
hconres175-93,528
hconres175-93,529
hconres175-93,678
hconres175-93,680
hconres175-93,820
hconres175-93,838
hconres175-93,866
hconres175-93,874
hconres175-93,1109
hconres176-93,1109
hconres177-93,32
hconres177-93,1115
hconres177-93,1183
hconres178-93,17
hconres178-93,90
hconres178-93,92
hconres178-93,181
hconres178-93,195
hconres178-93,262
hconres178-93,370
hconres178-93,402
hconres178-93,415
hconres178-93,477
hconres178-93,494
hconres178-93,513
hconres178-93,542
hconres178-93,561
hconres178-93,625
hconres178-93,678
hconres178-93,680
hconres178-93,712
hconres178-93,734
hconres178-93,741
hconres178-93,907
hconres178-93,1109
hconres178-93,1153
hconres178-93,1180
hconres178-93,1221
hconres179-93,17
hconres179-93,275
hconres179-93,287
hconres179-93,341
hconres179-93,370
hconres179-93,418
hconres179-93,523
hconres179-93,597
hconres179-93,760
hconres179-93,872
hconres179-93,907
hconres179-93,936
hconres179-93,941
hconres179-93,950
hconres179-93,957
hconres179-93,982
hconres180-93,1052
